timestamp,Basel Temperature [2 m elevation corrected],Basel Wind Speed [10 m],Basel Wind Direction [10 m],Basel UV Radiation
20220106T0400,1.8102454,4.8433046,221.98721,0
20220106T0500,2.0002456,4.8433046,221.98721,0
20220106T0600,1.9902455,5.1165614,219.28941,0
20220106T0700,1.8102454,4.6102495,218.65982,0
20220106T0800,1.8002454,4.3349743,221.63354,0
20220106T0900,1.6702454,6.1305785,220.23636,0
20220106T1000,2.1002455,5.00128,210.25644,1.25
20220106T1100,2.4702454,3.0547013,225,8.35
20220106T1200,3.2502456,4.39436,304.99203,14.54
20220106T1300,3.5602455,6.28713,336.37064,14.45
20220106T1400,4.170245,6.9899354,348.11133,18.87
20220106T1500,4.4802456,6.130579,3.3664398,10.53
20220106T1600,4.150245,5.1544156,12.094757,10.42
20220106T1700,3.9402456,2.5455842,8.130096,7.74
20220106T1800,2.1902454,1.835647,11.309921,2.4
20220106T1900,2.1502454,1.0182338,44.999985,0
20220106T2000,1.5802454,2.8116899,320.19443,0
20220106T2100,0.8702454,1.5273507,44.999985,0
20220106T2200,0.3102454,0.35999998,180,0
20220106T2300,-0.009754598,1.609969,153.43495,0
20220107T0000,-1.1897546,3.6179552,174.28941,0
20220107T0100,-1.4697546,6.638072,167.47119,0
20220107T0200,-2.0597544,5.0142193,158.9625,0
20220107T0300,-1.6297547,4.896529,162.89728,0
20220107T0400,-0.88975465,4.802999,167.00539,0
20220107T0500,-0.9597546,5.4119864,176.18593,0
20220107T0600,-1.0497546,6.4799995,180,0
20220107T0700,-0.89975464,6.162207,186.70984,0
20220107T0800,-0.62975454,6.5693827,189.46233,0
20220107T0900,-0.4597546,7.5685663,182.72632,0
20220107T1000,0.080245405,9.028754,175.42609,1.45
20220107T1100,0.84024537,9.746631,175.76361,8.53
20220107T1200,1.8302454,11.165805,181.84761,11.6
20220107T1300,2.0102453,11.525623,194.47029,14.1
20220107T1400,2.0202456,14.039999,202.61987,13.67
20220107T1500,1.6602454,14.654254,207.8241,15.82
20220107T1600,1.6002454,12.313894,217.87498,12.39
20220107T1700,1.7702454,13.004922,221.63354,4.9
20220107T1800,1.9602454,13.324863,218.41806,1.46
20220107T1900,1.7802454,13.104198,217.18471,0
20220107T2000,1.9202454,13.755579,222.8789,0
20220107T2100,2.1502454,13.246826,222.7974,0
20220107T2200,2.5302453,13.089354,211.50427,0
20220107T2300,2.8202453,14.007655,205.90651,0
20220108T0000,2.9202452,14.658676,204.67686,0
20220108T0100,3.2702456,17.193533,199.57312,0
20220108T0200,3.4502454,18.345877,195.94539,0
20220108T0300,3.3702455,19.592731,200.43283,0
20220108T0400,3.2002454,20.696087,220.06079,0
20220108T0500,3.3402452,21.30093,239.53445,0
20220108T0600,3.6002455,22.104116,253.92644,0
20220108T0700,3.5702453,18.448023,264.40067,0
20220108T0800,3.2402453,14.869351,263.04706,0
20220108T0900,2.7102456,12.522619,251.56506,0
20220108T1000,2.6002455,10.883676,235.7843,1.25
20220108T1100,2.6702452,13.584932,237.99463,8.41
20220108T1200,3.0902452,15.876775,237.0306,14.97
20220108T1300,3.7402453,18.709612,239.98164,20.51
20220108T1400,4.4702454,17.429354,231.70984,20.68
20220108T1500,4.8402452,16.992609,216.38435,22.42
20220108T1600,5.0502453,16.485485,211.6075,16.26
20220108T1700,5.0702453,13.049689,204.44395,10.57
20220108T1800,4.9902453,13.1041975,200.9245,2.33
20220108T1900,5.4102454,13.661038,198.43495,0
20220108T2000,5.2402453,14.458382,198.8861,0
20220108T2100,5.440245,16.808569,189.86581,0
20220108T2200,5.5902452,18.03237,183.43362,0
20220108T2300,5.630245,18.416384,184.4846,0
20220109T0000,5.880245,17.294992,182.38594,0
20220109T0100,5.5802455,20.969805,191.88866,0
20220109T0200,5.750245,20.833395,198.12186,0
20220109T0300,6.2202454,27.80403,221.3255,0
20220109T0400,5.710245,26.368616,237.82878,0
20220109T0500,5.2002454,23.710857,239.93143,0
20220109T0600,4.6002455,22.73707,246.68228,0
20220109T0700,4.1602454,23.510508,258.518,0
20220109T0800,4.1902456,22.380884,258.87082,0
20220109T0900,4.2702456,19.255793,249.1932,0
20220109T1000,4.0502453,16.923828,240.70865,0.86
20220109T1100,4.2702456,14.84318,230.90614,4.78
20220109T1200,4.420245,13.830749,231.3402,9.7
20220109T1300,4.4802456,17.373497,235.98065,15.36
20220109T1400,4.5902452,16.267857,245.1363,23.02
20220109T1500,4.650245,15.937878,251.56506,21.75
20220109T1600,4.5902452,11.966953,248.83875,17.71
20220109T1700,4.0702453,10.948973,242.59244,9.65
20220109T1800,3.7902455,7.8954163,226.84761,2.2
20220109T1900,3.2002454,6.297428,210.96376,0
20220109T2000,2.7602453,6.4096174,218.15723,0
20220109T2100,2.4902453,6.1094027,225,0
20220109T2200,2.2102454,4.3349743,228.36647,0
20220109T2300,1.9402454,5.3517847,227.72632,0
20220110T0000,1.6502454,4.510787,241.38954,0
20220110T0100,1.8102454,5.315336,241.69925,0
20220110T0200,1.7802454,5.3517847,222.27368,0
20220110T0300,1.9202454,4.5536795,251.56506,0
20220110T0400,2.1002455,3.4152596,288.43497,0
20220110T0500,1.5902454,2.2768397,341.56506,0
20220110T0600,1.4902453,2.4149535,26.565033,0
20220110T0700,1.5902454,4.0249224,10.30484,0
20220110T0800,1.8602453,4.452954,14.03624,0
20220110T0900,1.7602454,3.9763298,5.194412,0
20220110T1000,1.7302454,3.319036,347.4712,1.05
20220110T1100,2.2502456,6.162207,353.29016,6.69
20220110T1200,2.8002453,6.8399997,360,12.97
20220110T1300,3.2602453,6.379216,16.389526,20.37
20220110T1400,4.150245,7.8954163,24.227737,22.83
20220110T1500,4.5902452,9.085988,33.690063,17.79
20220110T1600,4.8302455,9.290511,35.53766,17.53
20220110T1700,4.4402456,7.10031,30.465546,10.88
20220110T1800,3.1802454,6.130579,3.3664398,2.96
20220110T1900,2.0502453,7.928178,357.39746,0
20220110T2000,1.3602455,7.69592,10.7842865,0
20220110T2100,0.9102454,8.39657,30.963745,0
20220110T2200,0.2502454,7.8954163,43.15239,0
20220110T2300,-0.04975462,6.618519,44.999985,0
20220111T0000,-0.3097546,7.127636,44.999985,0
20220111T0100,-0.51975465,7.145796,40.914368,0
20220111T0200,-0.1297546,6.792466,32.005356,0
20220111T0300,-0.3197546,5.8048253,29.744873,0
20220111T0400,-0.39975458,6.9153743,38.659805,0
20220111T0500,-0.2697546,7.127636,44.999985,0
20220111T0600,-0.5797546,6.638072,40.601288,0
20220111T0700,-0.29975462,6.6185193,22.380127,0
20220111T0800,0.6302454,7.289444,20.224854,0
20220111T0900,0.9102454,7.754637,21.801407,0
20220111T1000,1.1202455,6.5693827,9.462311,1.42
20220111T1100,1.6902454,7.342588,11.309921,8.04
20220111T1200,1.9902455,10.30883,24.775131,17.36
20220111T1300,2.7702456,11.480557,41.18593,19.37
20220111T1400,3.4902453,11.720751,47.489548,26.16
20220111T1500,3.9802456,11.304229,52.76516,23.47
20220111T1600,4.3202453,10.514218,51.95294,19.38
20220111T1700,3.9102454,7.127636,44.999985,10.95
20220111T1800,1.5402454,6.4096174,38.157227,3.55
20220111T1900,0.6902454,7.289445,32.905228,0
20220111T2000,0.16024542,8.0899935,32.275635,0
20220111T2100,-0.48975456,7.9036193,30.068573,0
20220111T2200,-0.85975456,7.289445,32.905228,0
20220111T2300,-1.0097545,6.8777895,47.121094,0
20220112T0000,-1.3297546,6.763786,64.79888,0
20220112T0100,-1.7397546,6.519877,83.65981,0
20220112T0200,-2.1897545,5.8603754,79.38034,0
20220112T0300,-2.5497546,5.6920996,71.56504,0
20220112T0400,-2.7997546,6.151683,69.443954,0
20220112T0500,-2.9797544,5.8603754,79.38034,0
20220112T0600,-3.1897545,5.506941,78.69006,0
20220112T0700,-3.1097546,5.6920996,71.56504,0
20220112T0800,-3.1197548,5.5887027,75.06858,0
20220112T0900,-3.2597547,5.0528407,85.91438,0
20220112T1000,-1.9497546,3.7585104,73.30075,1.6
20220112T1100,-0.7197546,4.6938252,94.398705,10.25
20220112T1200,0.2702454,4.2136917,109.9831,20.22
20220112T1300,1.2202454,4.6102495,51.34018,26.11
20220112T1400,1.7502455,5.495161,31.607498,30.49
20220112T1500,2.4202454,5.1919937,33.690063,28.09
20220112T1600,2.8202453,6.297428,30.963745,22.52
20220112T1700,2.4702454,5.3999996,36.86989,12.99
20220112T1800,0.3002454,6.696387,53.746155,3.37
20220112T1900,-1.0097545,6.489992,70.55996,0
20220112T2000,-1.7997545,6.638072,49.398697,0
20220112T2100,-2.2097545,5.8048253,60.25511,0
